project_name,domain,description,technologies,difficulty,dataset,learning_topics
Neighbourhood Crime Heatmap ML,Data Science,Predict neighbourhood safety scores from crime records using spatial clustering and regression.,Python Scikit-learn GeoPandas Folium,Intermediate,Research Dataset,Classification
Employee Attrition Predictor,Machine Learning,Identify employees at risk of resignation using HR features with XGBoost and SHAP explainability.,Python XGBoost Scikit-learn Pandas,Intermediate,Synthetic Dataset,Classification
Plagiarism Detector,NLP,Detect text plagiarism using sentence embeddings (SBERT) and cosine similarity at paragraph level.,Python Transformers Scikit-learn Pandas,Intermediate,API-Collected Dataset,Natural Language Processing
Movie Recommendation System,Machine Learning,Recommend movies using matrix factorisation (SVD) on the MovieLens dataset with cold-start handling.,Python Surprise Scikit-learn Pandas,Intermediate,Web-Scraped Dataset,Recommendation Systems
Student Performance Predictor,Machine Learning,"Predict student exam scores from attendance, assignment scores, and activity logs using regression.",Python Scikit-learn Pandas Matplotlib,Intermediate,Public Dataset,Regression
Federated Learning Simulator,Machine Learning,Simulate privacy-preserving federated learning across distributed clients with differential privacy.,Python PySyft PyTorch NumPy,Intermediate,Web-Scraped Dataset,Deep Learning
Age and Gender Estimator,Computer Vision,Estimate age and gender from facial images using deep CNNs trained on the UTKFace dataset.,Python TensorFlow OpenCV DeepFace,Beginner,Web-Scraped Dataset,Computer Vision
Mental Health Sentiment Tracker,NLP,Analyse social media posts to detect mental health distress signals using fine-tuned BERT.,Python Transformers HuggingFace Pandas,Advanced,Kaggle Dataset,Natural Language Processing
Text-to-Image Concept Explorer,Computer Vision,Fine-tune a diffusion model on a custom concept dataset and generate novel images from text prompts.,Python Diffusers HuggingFace PyTorch,Intermediate,Web-Scraped Dataset,Deep Learning
Fraud Transaction Detector,Machine Learning,Detect fraudulent credit-card transactions in real time using an anomaly-detection pipeline with isolation forest.,Python Scikit-learn XGBoost Pandas,Intermediate,Kaggle Dataset,Classification
Twitter Trend Forecaster,NLP,Forecast trending topics on Twitter 6 hours ahead using NLP feature extraction and time-series regression.,Python Transformers Pandas Prophet,Intermediate,Web-Scraped Dataset,Natural Language Processing
Log Anomaly Detector,Machine Learning,Detect anomalous server log patterns signalling attacks using isolation forest and autoencoder.,Python PyTorch Scikit-learn Pandas,Advanced,Synthetic Dataset,Deep Learning
Adaptive Quiz Generator,NLP,Generate difficulty-adapted quiz questions from study material using GPT fine-tuning and knowledge graphs.,Python Transformers HuggingFace FastAPI,Advanced,Government Dataset,Natural Language Processing
Content Moderation Classifier,NLP,Automatically flag toxic and rule-violating content using a multi-label BERT classifier.,Python Transformers HuggingFace Pandas,Beginner,API-Collected Dataset,Natural Language Processing
Movie Box-Office Predictor,Data Science,"Forecast box-office revenue from cast, budget, genre, and trailer sentiment using gradient boosting.",Python XGBoost Scikit-learn Pandas,Intermediate,Synthetic Dataset,Regression
Smart Home Energy Monitor,Data Science,Disaggregate appliance-level energy consumption from smart-meter readings using NILM techniques.,Python Scikit-learn Pandas Plotly,Intermediate,API-Collected Dataset,Time Series
Employee Attrition Predictor,Machine Learning,Identify employees at risk of resignation using HR features with XGBoost and SHAP explainability.,Python XGBoost Scikit-learn Pandas,Intermediate,Kaggle Dataset,Classification
Property Listing Classifier,NLP,Classify real-estate listings into property types from listing description text using TF-IDF + SVM.,Python Scikit-learn Pandas Matplotlib,Beginner,API-Collected Dataset,Natural Language Processing
Resume Parser + Job Matcher,NLP,Extract skills and experience from resumes and match them to job postings using semantic similarity.,Python SpaCy Transformers Scikit-learn,Beginner,Synthetic Dataset,Natural Language Processing
Fraud Transaction Detector,Machine Learning,Detect fraudulent credit-card transactions in real time using an anomaly-detection pipeline with isolation forest.,Python Scikit-learn XGBoost Pandas,Advanced,Web-Scraped Dataset,Classification
Named Entity Recognition System,NLP,"Extract and classify entities (person, org, location) from text using SpaCy + custom training.",Python SpaCy Transformers Pandas,Advanced,API-Collected Dataset,Natural Language Processing
Pothole Detection System,Computer Vision,Automatically detect road potholes from dashcam footage using semantic segmentation with DeepLab.,Python TensorFlow OpenCV Pandas,Intermediate,Government Dataset,Computer Vision
Network Intrusion Detector,Machine Learning,Detect network intrusions and attacks from packet-level features using random forest on CICIDS dataset.,Python Scikit-learn XGBoost Pandas,Advanced,Public Dataset,Classification
Movie Recommendation System,Machine Learning,Recommend movies using matrix factorisation (SVD) on the MovieLens dataset with cold-start handling.,Python Surprise Scikit-learn Pandas,Advanced,Synthetic Dataset,Recommendation Systems
Credit Score Predictor,Machine Learning,Build a credit-scoring model using customer financial history with feature importance and SHAP.,Python Scikit-learn XGBoost Pandas,Intermediate,Government Dataset,Classification
Neighbourhood Crime Heatmap ML,Data Science,Predict neighbourhood safety scores from crime records using spatial clustering and regression.,Python Scikit-learn GeoPandas Folium,Advanced,Synthetic Dataset,Classification
Dynamic Pricing Optimiser,Data Science,Optimise product pricing in real time using demand elasticity models and contextual bandit algorithms.,Python Scikit-learn NumPy Pandas,Intermediate,Web-Scraped Dataset,Regression
Insurance Premium Estimator,Machine Learning,Estimate insurance premium quotes from customer demographics and history using gradient boosted trees.,Python XGBoost Scikit-learn Pandas,Advanced,Synthetic Dataset,Regression
Energy Consumption Predictor,Data Science,Forecast building energy consumption from smart-meter readings using gradient boosting and feature engineering.,Python LightGBM Pandas Plotly,Advanced,API-Collected Dataset,Time Series
Skin Lesion Classification,Computer Vision,Classify dermoscopic images into 7 skin conditions using EfficientNet with data augmentation.,Python TensorFlow Keras OpenCV,Intermediate,Government Dataset,Computer Vision
Product Recommendation Engine,Machine Learning,Build a collaborative-filtering recommender that suggests products based on user purchase history.,Python Scikit-learn Surprise Pandas,Beginner,Open Dataset,Recommendation Systems
Crop Yield Predictor,Machine Learning,"Forecast crop yields per hectare from soil chemistry, weather, and satellite data using gradient boosting.",Python XGBoost Scikit-learn Pandas,Beginner,Web-Scraped Dataset,Regression
Skin Lesion Classification,Computer Vision,Classify dermoscopic images into 7 skin conditions using EfficientNet with data augmentation.,Python TensorFlow Keras OpenCV,Beginner,Open Dataset,Computer Vision
Music Genre Classifier,Machine Learning,"Classify music tracks into genres from MFCC, chroma, and spectral features using SVM and random forest.",Python Librosa Scikit-learn Pandas,Intermediate,Research Dataset,Classification
Explainable AI Dashboard,Machine Learning,Build a SHAP + LIME dashboard that explains any black-box model's predictions interactively.,Python SHAP Scikit-learn Streamlit,Intermediate,Synthetic Dataset,Classification
Face Recognition Access System,Computer Vision,Build a face-recognition attendance system using FaceNet embeddings and cosine similarity matching.,Python TensorFlow OpenCV DeepFace,Intermediate,Government Dataset,Computer Vision
Music Playlist Generator,Machine Learning,"Generate personalised playlists by clustering audio features (BPM, key, energy) using k-means + cosine sim.",Python Scikit-learn Librosa Pandas,Intermediate,Open Dataset,Recommendation Systems
Predictive Maintenance System,Machine Learning,Predict machine failures from IoT sensor vibration and temperature data using LSTM and isolation forest.,Python TensorFlow Scikit-learn Pandas,Beginner,Research Dataset,Time Series
Federated Learning Simulator,Machine Learning,Simulate privacy-preserving federated learning across distributed clients with differential privacy.,Python PySyft PyTorch NumPy,Beginner,API-Collected Dataset,Deep Learning
Handwriting Recognition System,Computer Vision,Recognise handwritten digits and characters using CNN trained on MNIST and IAM datasets.,Python TensorFlow Keras OpenCV,Beginner,Research Dataset,Computer Vision
Revenue Forecasting Engine,Data Science,Predict quarterly company revenue from sales CRM data using Facebook Prophet with seasonality decomposition.,Python Prophet Pandas Plotly,Beginner,Synthetic Dataset,Time Series
Movie Box-Office Predictor,Data Science,"Forecast box-office revenue from cast, budget, genre, and trailer sentiment using gradient boosting.",Python XGBoost Scikit-learn Pandas,Beginner,Web-Scraped Dataset,Regression
Game Bot with Reinforcement Learning,AI,Train an RL agent to play Atari games using Deep Q-Network (DQN) with experience replay.,Python Stable-Baselines3 Gym PyTorch,Intermediate,Research Dataset,Deep Learning
Price Comparison Scraper + ML Pricer,Data Science,Scrape competitor prices and predict the optimal listing price using regression with market features.,Python Scikit-learn BeautifulSoup Pandas,Intermediate,Public Dataset,Regression
Music Genre Classifier,Machine Learning,"Classify music tracks into genres from MFCC, chroma, and spectral features using SVM and random forest.",Python Librosa Scikit-learn Pandas,Advanced,Open Dataset,Classification
Review Sentiment Analyser,NLP,"Classify product reviews into positive, neutral, and negative sentiments with aspect-level insights.",Python Transformers HuggingFace Pandas,Beginner,Kaggle Dataset,Natural Language Processing
Wildfire Smoke Detector,Computer Vision,Detect wildfire smoke from satellite imagery using CNN classification with geographic overlays.,Python PyTorch OpenCV Matplotlib,Advanced,Synthetic Dataset,Computer Vision
Cryptocurrency Sentiment Dashboard,NLP,Aggregate crypto news and Twitter sentiment scores to generate buy/sell signals using VADER + RoBERTa.,Python Transformers Pandas Streamlit,Intermediate,API-Collected Dataset,Natural Language Processing
Document Scanner + OCR,Computer Vision,"Build a mobile-friendly document scanner that detects edges, deskews, and extracts text via Tesseract.",Python OpenCV Tesseract Scikit-image,Intermediate,Web-Scraped Dataset,Computer Vision
Predictive Maintenance System,Machine Learning,Predict machine failures from IoT sensor vibration and temperature data using LSTM and isolation forest.,Python TensorFlow Scikit-learn Pandas,Intermediate,Web-Scraped Dataset,Time Series
Document Summarisation Engine,NLP,Summarise long PDFs and reports using extractive (TextRank) and abstractive (BART) techniques.,Python Transformers HuggingFace PyPDF2,Beginner,Research Dataset,Natural Language Processing
Game Bot with Reinforcement Learning,AI,Train an RL agent to play Atari games using Deep Q-Network (DQN) with experience replay.,Python Stable-Baselines3 Gym PyTorch,Intermediate,Kaggle Dataset,Deep Learning
Dynamic Pricing Optimiser,Data Science,Optimise product pricing in real time using demand elasticity models and contextual bandit algorithms.,Python Scikit-learn NumPy Pandas,Beginner,Public Dataset,Regression
Property Listing Classifier,NLP,Classify real-estate listings into property types from listing description text using TF-IDF + SVM.,Python Scikit-learn Pandas Matplotlib,Beginner,Public Dataset,Natural Language Processing
Water Quality Predictor,Data Science,Predict water potability from chemical sensor readings using random forest with cross-validated accuracy.,Python Scikit-learn Pandas Matplotlib,Beginner,Public Dataset,Classification
Employee Attrition Predictor,Machine Learning,Identify employees at risk of resignation using HR features with XGBoost and SHAP explainability.,Python XGBoost Scikit-learn Pandas,Advanced,Government Dataset,Classification
Customer Lifetime Value Predictor,Data Science,Estimate customer LTV using BG-NBD and Gamma-Gamma models with RFM segmentation.,Python Lifetimes Pandas Plotly,Advanced,Public Dataset,Regression
Rent Yield Predictor,Data Science,Predict rental yield percentages from property listing features using gradient boosting regression.,Python Scikit-learn Pandas Plotly,Advanced,API-Collected Dataset,Regression
Property Listing Classifier,NLP,Classify real-estate listings into property types from listing description text using TF-IDF + SVM.,Python Scikit-learn Pandas Matplotlib,Advanced,Government Dataset,Natural Language Processing
Time Series Anomaly Detector,Data Science,"Flag anomalies in multivariate time-series data using isolation forest, LOF, and LSTM autoencoder.",Python PyTorch Scikit-learn Pandas,Beginner,Public Dataset,Time Series
Industrial Anomaly Detector,Machine Learning,Detect manufacturing defects in sensor time-series data using autoencoder reconstruction error.,Python PyTorch Scikit-learn Pandas,Advanced,API-Collected Dataset,Deep Learning
Malware Classifier,Machine Learning,Classify malware families from static PE-file features using gradient boosting with SHAP analysis.,Python XGBoost Scikit-learn Pandas,Intermediate,Kaggle Dataset,Classification
Network Intrusion Detector,Machine Learning,Detect network intrusions and attacks from packet-level features using random forest on CICIDS dataset.,Python Scikit-learn XGBoost Pandas,Intermediate,Government Dataset,Classification
Delivery Route Optimiser,Data Science,Optimise last-mile delivery routes using the vehicle routing problem (VRP) with OR-Tools and demand clustering.,Python OR-Tools Pandas NumPy,Intermediate,Research Dataset,Regression
Loan Default Risk Model,Machine Learning,Predict borrower default probability using logistic regression with SMOTE oversampling for imbalanced data.,Python Scikit-learn Pandas Imbalanced-learn,Advanced,Open Dataset,Classification
Portfolio Optimiser,Data Science,Build a mean-variance portfolio optimisation tool with Monte Carlo simulations and Sharpe-ratio maximisation.,Python NumPy Pandas Plotly,Intermediate,Web-Scraped Dataset,Regression
Time Series Anomaly Detector,Data Science,"Flag anomalies in multivariate time-series data using isolation forest, LOF, and LSTM autoencoder.",Python PyTorch Scikit-learn Pandas,Advanced,API-Collected Dataset,Time Series
Book Recommendation Engine,Machine Learning,Recommend books using content-based filtering on TF-IDF of descriptions and user reading history.,Python Scikit-learn Pandas Streamlit,Beginner,Government Dataset,Recommendation Systems
Medical Chatbot for Symptom Triage,NLP,Build a conversational symptom checker that maps user inputs to potential diagnoses using LLM fine-tuning.,Python Transformers FastAPI Streamlit,Intermediate,API-Collected Dataset,Natural Language Processing
Market Basket Analysis Tool,Machine Learning,Discover product purchase patterns using Apriori and FP-Growth frequent-itemset algorithms.,Python Mlxtend Pandas Plotly,Intermediate,API-Collected Dataset,Recommendation Systems
Social Network Community Detector,Machine Learning,Detect communities in social graphs using Louvain algorithm with embedding-based node classification.,Python NetworkX PyTorch Pandas,Advanced,Open Dataset,Classification
Soil Health Analyser,Data Science,Analyse soil test data to predict soil health scores and recommend fertilisers using regression models.,Python Scikit-learn Pandas Plotly,Intermediate,Public Dataset,Regression
Automatic Essay Grader,NLP,"Score student essays on coherence, grammar, and content using BERT embeddings and regression.",Python Transformers Scikit-learn Pandas,Intermediate,Kaggle Dataset,Natural Language Processing
Chess AI Engine,AI,Build a chess-playing AI using Monte Carlo Tree Search and a policy-value neural network.,Python PyTorch NumPy Chess,Intermediate,Public Dataset,Deep Learning
Smart Home Energy Monitor,Data Science,Disaggregate appliance-level energy consumption from smart-meter readings using NILM techniques.,Python Scikit-learn Pandas Plotly,Advanced,Government Dataset,Time Series
Movie Recommendation System,Machine Learning,Recommend movies using matrix factorisation (SVD) on the MovieLens dataset with cold-start handling.,Python Surprise Scikit-learn Pandas,Intermediate,Government Dataset,Recommendation Systems
ImageNet Style Transfer App,Computer Vision,Apply artistic styles to photos using neural style transfer with VGG-19 and Gram matrix optimisation.,Python PyTorch TensorFlow OpenCV,Beginner,Research Dataset,Deep Learning
Transfer Learning Benchmark,Machine Learning,"Compare fine-tuning strategies across ResNet, EfficientNet, and ViT on a domain-specific image dataset.",Python PyTorch TensorFlow Scikit-learn,Advanced,Government Dataset,Deep Learning
Carbon Emission Calculator,Data Science,Estimate carbon footprints from supply-chain and transport data using regression and scenario modelling.,Python Scikit-learn Pandas Plotly,Beginner,Synthetic Dataset,Regression
Pothole Detection System,Computer Vision,Automatically detect road potholes from dashcam footage using semantic segmentation with DeepLab.,Python TensorFlow OpenCV Pandas,Intermediate,Public Dataset,Computer Vision
Game Bot with Reinforcement Learning,AI,Train an RL agent to play Atari games using Deep Q-Network (DQN) with experience replay.,Python Stable-Baselines3 Gym PyTorch,Intermediate,Open Dataset,Deep Learning
Property Listing Classifier,NLP,Classify real-estate listings into property types from listing description text using TF-IDF + SVM.,Python Scikit-learn Pandas Matplotlib,Intermediate,Open Dataset,Natural Language Processing
Rent Yield Predictor,Data Science,Predict rental yield percentages from property listing features using gradient boosting regression.,Python Scikit-learn Pandas Plotly,Intermediate,Open Dataset,Regression
Log Anomaly Detector,Machine Learning,Detect anomalous server log patterns signalling attacks using isolation forest and autoencoder.,Python PyTorch Scikit-learn Pandas,Advanced,Kaggle Dataset,Deep Learning
Learning Path Recommender,Machine Learning,Recommend personalised online course sequences based on learner skill gaps and goals using collaborative filtering.,Python Scikit-learn Surprise Pandas,Advanced,Open Dataset,Recommendation Systems
Candidate-Job Fit Scorer,NLP,Match candidate profiles to job descriptions using bi-encoder sentence similarity with FAISS indexing.,Python Transformers FAISS Scikit-learn,Beginner,API-Collected Dataset,Natural Language Processing
Brain Tumor Segmentation,Computer Vision,Segment brain MRI scans to localise and grade tumour regions using U-Net architecture.,Python PyTorch OpenCV Scikit-learn,Intermediate,API-Collected Dataset,Computer Vision
Waste Classification System,Computer Vision,"Classify waste images into recyclable categories (paper, plastic, glass) using ResNet-50 transfer learning.",Python TensorFlow Keras OpenCV,Beginner,API-Collected Dataset,Computer Vision
Irrigation Optimiser,Data Science,Recommend irrigation schedules based on soil moisture sensors and weather forecasts using LSTM.,Python TensorFlow Pandas Plotly,Intermediate,Open Dataset,Time Series
Carbon Emission Calculator,Data Science,Estimate carbon footprints from supply-chain and transport data using regression and scenario modelling.,Python Scikit-learn Pandas Plotly,Advanced,Kaggle Dataset,Regression
Plagiarism Detector,NLP,Detect text plagiarism using sentence embeddings (SBERT) and cosine similarity at paragraph level.,Python Transformers Scikit-learn Pandas,Intermediate,Open Dataset,Natural Language Processing
Code Comment Generator,NLP,Generate docstrings and inline comments for Python functions using a fine-tuned CodeBERT model.,Python Transformers HuggingFace FastAPI,Intermediate,Kaggle Dataset,Natural Language Processing
Parking Occupancy Predictor,Data Science,Predict parking lot occupancy from sensor and time data using random forest regression.,Python Scikit-learn Pandas Plotly,Intermediate,Government Dataset,Regression
Chess AI Engine,AI,Build a chess-playing AI using Monte Carlo Tree Search and a policy-value neural network.,Python PyTorch NumPy Chess,Intermediate,Synthetic Dataset,Deep Learning
Movie Recommendation System,Machine Learning,Recommend movies using matrix factorisation (SVD) on the MovieLens dataset with cold-start handling.,Python Surprise Scikit-learn Pandas,Advanced,Government Dataset,Recommendation Systems
Tabular Data AutoML Pipeline,Machine Learning,Build an automated ML pipeline that selects optimal models and features for any tabular dataset.,Python Scikit-learn TPOT Pandas,Advanced,Research Dataset,Classification
Energy Consumption Predictor,Data Science,Forecast building energy consumption from smart-meter readings using gradient boosting and feature engineering.,Python LightGBM Pandas Plotly,Intermediate,Web-Scraped Dataset,Time Series
Gesture Recognition Interface,Computer Vision,Translate hand gestures to commands using MediaPipe landmark extraction and LSTM classification.,Python MediaPipe TensorFlow OpenCV,Advanced,API-Collected Dataset,Computer Vision
Fall Detection Wearable Model,Machine Learning,Detect elderly falls from accelerometer data using SVM and sliding window feature extraction.,Python Scikit-learn Pandas NumPy,Beginner,Government Dataset,Classification
Credit Score Predictor,Machine Learning,Build a credit-scoring model using customer financial history with feature importance and SHAP.,Python Scikit-learn XGBoost Pandas,Advanced,Public Dataset,Classification
GAN-Based Face Generator,Computer Vision,Generate photorealistic human faces using a progressive GAN with latent-space interpolation.,Python PyTorch TensorFlow NumPy,Intermediate,Government Dataset,Deep Learning
Market Basket Analysis Tool,Machine Learning,Discover product purchase patterns using Apriori and FP-Growth frequent-itemset algorithms.,Python Mlxtend Pandas Plotly,Intermediate,Research Dataset,Recommendation Systems
Air Quality Index Forecaster,Data Science,Predict AQI 24 hours ahead using sensor readings and meteorological data with SARIMA and LSTM.,Python TensorFlow Pandas Prophet,Intermediate,Public Dataset,Time Series
Twitter Trend Forecaster,NLP,Forecast trending topics on Twitter 6 hours ahead using NLP feature extraction and time-series regression.,Python Transformers Pandas Prophet,Intermediate,Government Dataset,Natural Language Processing
Code Comment Generator,NLP,Generate docstrings and inline comments for Python functions using a fine-tuned CodeBERT model.,Python Transformers HuggingFace FastAPI,Intermediate,Research Dataset,Natural Language Processing
Dynamic Pricing Optimiser,Data Science,Optimise product pricing in real time using demand elasticity models and contextual bandit algorithms.,Python Scikit-learn NumPy Pandas,Intermediate,Kaggle Dataset,Regression
Interview Performance Scorer,NLP,"Score candidate interview responses using sentiment, coherence, and keyword analysis with BERT.",Python Transformers HuggingFace Pandas,Intermediate,Synthetic Dataset,Natural Language Processing
Product Recommendation Engine,Machine Learning,Build a collaborative-filtering recommender that suggests products based on user purchase history.,Python Scikit-learn Surprise Pandas,Advanced,Web-Scraped Dataset,Recommendation Systems
Loan Default Risk Model,Machine Learning,Predict borrower default probability using logistic regression with SMOTE oversampling for imbalanced data.,Python Scikit-learn Pandas Imbalanced-learn,Intermediate,Government Dataset,Classification
Stock Price Forecaster,Data Science,Forecast next-day stock closing prices using LSTM networks trained on OHLCV market data.,Python TensorFlow Pandas Matplotlib,Intermediate,Kaggle Dataset,Time Series
Air Quality Index Forecaster,Data Science,Predict AQI 24 hours ahead using sensor readings and meteorological data with SARIMA and LSTM.,Python TensorFlow Pandas Prophet,Advanced,Government Dataset,Time Series
Content Moderation Classifier,NLP,Automatically flag toxic and rule-violating content using a multi-label BERT classifier.,Python Transformers HuggingFace Pandas,Intermediate,Web-Scraped Dataset,Natural Language Processing
Handwriting Recognition System,Computer Vision,Recognise handwritten digits and characters using CNN trained on MNIST and IAM datasets.,Python TensorFlow Keras OpenCV,Intermediate,Web-Scraped Dataset,Computer Vision
Student Performance Predictor,Machine Learning,"Predict student exam scores from attendance, assignment scores, and activity logs using regression.",Python Scikit-learn Pandas Matplotlib,Beginner,Public Dataset,Regression
Fake News Detector,NLP,Detect misinformation in news articles using TF-IDF + LSTM with a claim-source credibility graph.,Python TensorFlow Transformers Pandas,Beginner,Research Dataset,Natural Language Processing
Gesture Recognition Interface,Computer Vision,Translate hand gestures to commands using MediaPipe landmark extraction and LSTM classification.,Python MediaPipe TensorFlow OpenCV,Beginner,Web-Scraped Dataset,Computer Vision
Smart Home Energy Monitor,Data Science,Disaggregate appliance-level energy consumption from smart-meter readings using NILM techniques.,Python Scikit-learn Pandas Plotly,Beginner,Open Dataset,Time Series
Age and Gender Estimator,Computer Vision,Estimate age and gender from facial images using deep CNNs trained on the UTKFace dataset.,Python TensorFlow OpenCV DeepFace,Advanced,Research Dataset,Computer Vision
Supply Chain Demand Forecaster,Data Science,Predict supply chain demand with multivariate time-series models to reduce inventory waste.,Python Prophet LightGBM Pandas,Advanced,Kaggle Dataset,Time Series
Document Scanner + OCR,Computer Vision,"Build a mobile-friendly document scanner that detects edges, deskews, and extracts text via Tesseract.",Python OpenCV Tesseract Scikit-image,Intermediate,Research Dataset,Computer Vision
Dynamic Pricing Optimiser,Data Science,Optimise product pricing in real time using demand elasticity models and contextual bandit algorithms.,Python Scikit-learn NumPy Pandas,Advanced,Government Dataset,Regression
Property Listing Classifier,NLP,Classify real-estate listings into property types from listing description text using TF-IDF + SVM.,Python Scikit-learn Pandas Matplotlib,Beginner,Web-Scraped Dataset,Natural Language Processing
Fashion Item Classifier,Computer Vision,Classify clothing items in images and generate visual style recommendations using ResNet + embedding.,Python TensorFlow Keras OpenCV,Intermediate,API-Collected Dataset,Computer Vision
Sports Outcome Predictor,Machine Learning,"Predict football match outcomes using Elo ratings, form indices, and poisson goal models.",Python Scikit-learn Pandas NumPy,Intermediate,Research Dataset,Classification
Tabular Data AutoML Pipeline,Machine Learning,Build an automated ML pipeline that selects optimal models and features for any tabular dataset.,Python Scikit-learn TPOT Pandas,Intermediate,Synthetic Dataset,Classification
Question Answering Chatbot,NLP,Build a context-aware QA bot using RAG (retrieval augmented generation) with FAISS and GPT.,Python Transformers FAISS LangChain,Intermediate,Government Dataset,Natural Language Processing
Pothole Detection System,Computer Vision,Automatically detect road potholes from dashcam footage using semantic segmentation with DeepLab.,Python TensorFlow OpenCV Pandas,Intermediate,API-Collected Dataset,Computer Vision
Hate Speech Moderator,NLP,Detect and classify hate speech and offensive language in social-media posts using multi-class BERT.,Python Transformers HuggingFace Pandas,Beginner,Kaggle Dataset,Natural Language Processing
Twitter Trend Forecaster,NLP,Forecast trending topics on Twitter 6 hours ahead using NLP feature extraction and time-series regression.,Python Transformers Pandas Prophet,Advanced,API-Collected Dataset,Natural Language Processing
Explainable AI Dashboard,Machine Learning,Build a SHAP + LIME dashboard that explains any black-box model's predictions interactively.,Python SHAP Scikit-learn Streamlit,Advanced,API-Collected Dataset,Classification
Multilingual Text Classifier,NLP,Classify documents in 10 languages into predefined categories using XLM-RoBERTa fine-tuning.,Python Transformers HuggingFace Pandas,Advanced,Research Dataset,Natural Language Processing
Options Pricing Model,Data Science,Implement Black-Scholes and neural-network-based options pricing models with Greeks visualisation.,Python NumPy TensorFlow Matplotlib,Intermediate,Government Dataset,Regression
Air Quality Index Forecaster,Data Science,Predict AQI 24 hours ahead using sensor readings and meteorological data with SARIMA and LSTM.,Python TensorFlow Pandas Prophet,Intermediate,Government Dataset,Time Series
Product Recommendation Engine,Machine Learning,Build a collaborative-filtering recommender that suggests products based on user purchase history.,Python Scikit-learn Surprise Pandas,Advanced,Public Dataset,Recommendation Systems
Sports Outcome Predictor,Machine Learning,"Predict football match outcomes using Elo ratings, form indices, and poisson goal models.",Python Scikit-learn Pandas NumPy,Beginner,Research Dataset,Classification
Insurance Premium Estimator,Machine Learning,Estimate insurance premium quotes from customer demographics and history using gradient boosted trees.,Python XGBoost Scikit-learn Pandas,Intermediate,Open Dataset,Regression
Energy Consumption Predictor,Data Science,Forecast building energy consumption from smart-meter readings using gradient boosting and feature engineering.,Python LightGBM Pandas Plotly,Advanced,Synthetic Dataset,Time Series
Flight Delay Predictor,Machine Learning,"Predict flight delays from weather, carrier, and airport data using gradient boosting classification.",Python XGBoost Scikit-learn Pandas,Intermediate,API-Collected Dataset,Classification
Customer Churn Predictor,Machine Learning,Identify customers likely to cancel subscriptions using XGBoost with cohort analysis visualisations.,Python XGBoost Scikit-learn Pandas,Advanced,Government Dataset,Classification
COVID-19 X-Ray Classifier,Computer Vision,"Classify chest X-rays as COVID-19, pneumonia, or normal using transfer learning with ResNet.",Python TensorFlow Keras OpenCV,Advanced,Web-Scraped Dataset,Deep Learning
Flight Delay Predictor,Machine Learning,"Predict flight delays from weather, carrier, and airport data using gradient boosting classification.",Python XGBoost Scikit-learn Pandas,Advanced,Open Dataset,Classification
Handwriting Recognition System,Computer Vision,Recognise handwritten digits and characters using CNN trained on MNIST and IAM datasets.,Python TensorFlow Keras OpenCV,Intermediate,Open Dataset,Computer Vision
Medical Chatbot for Symptom Triage,NLP,Build a conversational symptom checker that maps user inputs to potential diagnoses using LLM fine-tuning.,Python Transformers FastAPI Streamlit,Advanced,API-Collected Dataset,Natural Language Processing
Delivery Route Optimiser,Data Science,Optimise last-mile delivery routes using the vehicle routing problem (VRP) with OR-Tools and demand clustering.,Python OR-Tools Pandas NumPy,Intermediate,Kaggle Dataset,Regression
Automatic Essay Grader,NLP,"Score student essays on coherence, grammar, and content using BERT embeddings and regression.",Python Transformers Scikit-learn Pandas,Intermediate,Open Dataset,Natural Language Processing
Document Scanner + OCR,Computer Vision,"Build a mobile-friendly document scanner that detects edges, deskews, and extracts text via Tesseract.",Python OpenCV Tesseract Scikit-image,Beginner,Research Dataset,Computer Vision
Network Intrusion Detector,Machine Learning,Detect network intrusions and attacks from packet-level features using random forest on CICIDS dataset.,Python Scikit-learn XGBoost Pandas,Beginner,API-Collected Dataset,Classification
Social Network Community Detector,Machine Learning,Detect communities in social graphs using Louvain algorithm with embedding-based node classification.,Python NetworkX PyTorch Pandas,Intermediate,Kaggle Dataset,Classification
Vehicle Detection System,Computer Vision,Count and classify vehicles from traffic cameras using YOLOv8 with lane-level analytics.,Python PyTorch Ultralytics OpenCV,Advanced,Public Dataset,Computer Vision
Cart Abandonment Predictor,Machine Learning,Predict which users will abandon their shopping cart and trigger targeted retention campaigns.,Python XGBoost Scikit-learn Pandas,Intermediate,Research Dataset,Classification
Loan Default Risk Model,Machine Learning,Predict borrower default probability using logistic regression with SMOTE oversampling for imbalanced data.,Python Scikit-learn Pandas Imbalanced-learn,Beginner,Open Dataset,Classification
Document Scanner + OCR,Computer Vision,"Build a mobile-friendly document scanner that detects edges, deskews, and extracts text via Tesseract.",Python OpenCV Tesseract Scikit-image,Advanced,Government Dataset,Computer Vision
Time Series Anomaly Detector,Data Science,"Flag anomalies in multivariate time-series data using isolation forest, LOF, and LSTM autoencoder.",Python PyTorch Scikit-learn Pandas,Advanced,Public Dataset,Time Series
Language Detection System,NLP,Identify the language of user-provided text across 50+ languages using n-gram language models.,Python Scikit-learn Langdetect Pandas,Intermediate,Web-Scraped Dataset,Natural Language Processing
Hate Speech Moderator,NLP,Detect and classify hate speech and offensive language in social-media posts using multi-class BERT.,Python Transformers HuggingFace Pandas,Advanced,Research Dataset,Natural Language Processing
